"","Road","Number_of_Fees(sheet/day)","Total_Parking_Hours(hours/day)","Number_of_Parking_Space","Hours_per_sheet","Time_Start","Time_End","Interval","Space_efficiency"
"632","松江路B",3.21103448275862,3.55724137931034,1.9848275862069,1.10781786941581,"09:00","20:00",11,"16.3%"
"633","松江路C",10.0707865168539,8.49438202247191,8.46629213483146,0.843467588976905,"07:00","20:00",13,"7.7%"
"634","松江路D",7.48738532110092,6.93692660550459,2.69495412844037,0.92648185020677,"07:00","20:00",13,"19.8%"
"635","松江路E",1.51153846153846,0.869230769230769,1.11538461538462,0.575063613231552,"07:00","20:00",13,"6.0%"
"636","松隆路A",93.1153238546603,179.243285939968,95.932859399684,1.92496013029758,"07:00","20:00",13,"14.4%"
"637","松隆路B",44.1291118421053,85.8453947368421,31.4128289473684,1.94532341924303,"07:00","20:00",13,"21.0%"
"638","松隆路C",3.22448979591837,7.85714285714286,3.26530612244898,2.43670886075949,"09:00","17:00",8,"30.1%"
"639","松平路50巷",13.5873563218391,32.9942528735632,13.2379310344828,2.42830555790542,"09:00","17:00",8,"31.2%"
"640","松勤街140巷",5.49074074074074,12.8796296296296,6.67592592592593,2.34569983136594,"09:00","17:00",8,"24.1%"
"641","松仁路",75.7421150278293,120.194805194805,62.8116883116883,1.58689528475199,"07:00","20:00",13,"14.7%"
"642","松山路",79.8567880794702,137.89321192053,55.1067880794702,1.72675630008189,"07:00","20:00",13,"19.2%"
"643","松山路B",7.35887096774194,11.6653225806452,2.375,1.58520547945205,"07:00","20:00",13,"37.8%"
"644","松壽廣場北側巷",124.970046082949,124.970046082949,113.60599078341,1,"12:00","20:00",8,"13.8%"
"645","松壽廣場南側停放區",81.2592592592593,81.2592592592593,88.75,1,"12:00","20:00",8,"11.4%"
"646","松信路",145.885829959514,271.644534412955,104.724696356275,1.86203508927729,"07:00","20:00",13,"20.0%"
"647","松勇路",44.064367816092,108.910344827586,43.9494252873563,2.47161936560935,"07:00","20:00",13,"19.1%"
"648","松勇路53巷",25.1091954022989,62.2712643678161,17.4298850574713,2.48001831082628,"07:00","20:00",13,"27.5%"
"649","松智路32巷",13.0022988505747,27.6298850574713,16.816091954023,2.125,"09:00","17:00",8,"20.5%"
"650","松智路32巷8弄",20.2022988505747,42.432183908046,28.3862068965517,2.10036413290851,"09:00","17:00",8,"18.7%"
"651","塔城街",48.1809744779582,71.5104408352668,29.8248259860789,1.48420495039969,"07:00","20:00",13,"18.4%"
"652","塔悠路",96.2720820189274,221.904574132492,210.184542586751,2.30497325370885,"07:00","20:00",13,"8.1%"
"653","太原路",70.4410585404972,99.7233360064154,55.7610264635124,1.41569899817851,"08:00","17:00",9,"19.9%"
"654","太原路A",33.803125,61.51953125,36.02109375,1.81993621151891,"09:00","17:00",8,"21.3%"
"655","泰安街",12.5294117647059,45.4117647058824,7.76470588235294,3.62441314553991,"07:00","20:00",13,"45.0%"
"656","潭美街A",97.93,236.19,609.5,2.4118247727969,"09:00","17:00",8,"4.8%"
"657","潭美街B",10.5952380952381,31.952380952381,27.4285714285714,3.01573033707865,"09:00","17:00",8,"14.6%"
"658","桃源街（累進計時）",64.6570771001151,107.467203682394,48.0345224395857,1.6621104525958,"09:00","17:00",8,"28.0%"
"659","天津街A",48.3252720677146,88.9431680773882,35.5429262394196,1.84051044664081,"07:00","20:00",13,"19.2%"
"660","天津街B",52.77625,123.585,45.0575,2.3416783117406,"09:00","17:00",8,"34.3%"
"661","天津街C",40.0022988505747,81.2264367816092,24.9034482758621,2.03054422159646,"07:00","20:00",13,"25.1%"
"662","天母北路",57.3787878787879,85.719696969697,47.7651515151515,1.4939265909691,"09:00","20:00",11,"16.3%"
"663","天母東路",92.3222222222222,139.945555555556,99.3988888888889,1.51583824768324,"09:00","17:00",8,"17.6%"
"664","天母西路",29.3287671232877,38.4520547945205,18.8904109589041,1.31106959364783,"00:00","09:00",9,"22.6%"
"665","天母西路130巷",21.6954177897574,39.0053908355795,21.7924528301887,1.79786308858243,"08:00","17:00",9,"19.9%"
"666","天母西路38巷",36.7232947232947,46.7799227799228,24.8056628056628,1.27384874185183,"09:00","16:00",7,"26.9%"
"667","天水路",32.8762057877814,59.6334405144695,30.6808681672026,1.81387842926304,"08:00","17:00",9,"21.6%"
"668","天祥路",34.3231511254019,63.6864951768489,30.5273311897106,1.8554967445782,"09:00","19:00",10,"20.9%"
"669","天玉街",78.2394366197183,140.295774647887,132.042253521127,1.79315931593159,"00:00","09:00",9,"11.8%"
"670","天玉街38巷",51.2372881355932,79.6153846153846,37.0404172099087,1.55385633222219,"09:00","17:00",8,"26.9%"
"671","汀州路二段Y00",28.4409769335142,32.9199457259159,27.5223880597015,1.15748294451601,"09:00","17:00",8,"15.0%"
"672","汀州路二段Z00",8.61975524475525,13.1188811188811,7.17657342657343,1.52195517695974,"09:00","17:00",8,"22.9%"
"673","汀州路三段",10.9320695102686,15.0394944707741,5.07503949447077,1.3757225433526,"07:00","20:00",13,"22.8%"
"674","汀州路三段104巷",20.6965517241379,43.6689655172414,12.3172413793103,2.10996334555148,"07:00","20:00",13,"27.3%"
"675","汀州路四段",84.632183908046,166.841379310345,150.788505747126,1.97137036534021,"09:00","17:00",8,"13.8%"
"676","汀州路四段23巷",4.04422604422604,9.53808353808354,3.14987714987715,2.3584447144593,"09:00","17:00",8,"37.9%"
"677","汀州路一段A",33.592478894858,50.2824251726784,36.3499616270146,1.49683580452811,"09:00","17:00",8,"17.3%"
"678","汀州路一段B",26.7925430210325,49.6099426386233,36.8986615678776,1.85163247100803,"09:00","17:00",8,"16.8%"
"679","汀洲路二段",7.64830119375574,15.6409550045914,4.3544536271809,2.04502341217433,"09:00","17:00",8,"44.9%"
"680","通河東街1段",78.9444444444444,78.9444444444444,218.166666666667,1,"09:00","17:00",8,"4.5%"
"681","通河東街2段",81.8333333333333,81.8333333333333,225.333333333333,1,"09:00","17:00",8,"4.5%"
